Agency,Department,Year,Requests Pending Start Year,Requests Received,Requests Processed,Requests Pending End Year,Released in Full Ratio,Released in Part Ratio,Denied in Full Ratio
DHS,FLETC,2013,12,113,122,3,0.2188,0.6406,0.1406
DHS,MGMT,2012,12,124,116,20,0.3614,0.6145,0.0241
DHS,FLETC,2011,12,134,141,5,0.4179,0.5522,0.0299
DHS,MGMT,2011,13,180,182,11,0.2386,0.6364,0.125
DHS,FLETC,2009,14,157,135,36,0.4762,0.4286,0.0952
DHS,NPPD,2008,14,64,59,19,0.28,0.72,0
DHS,I&A,2008,15,44,59,0,0.2143,0.5,0.2857
DHS,PLCY,2010,18,37,55,0,0.878,0.122,0
DHS,NPPD,2010,19,155,127,47,0.2025,0.7342,0.0633
DHS,OGC,2010,19,41,35,25,0.1429,0.7857,0.0714
DHS,NPPD,2009,19,58,63,14,0.2308,0.7692,0
DHS,OGC,2011,20,43,58,5,0.5294,0.4706,0
DHS,S&T,2008,22,77,88,11,0.3922,0.451,0.1569
DHS,I&A,2015,22,238,217,43,0.098,0.4314,0.4706
DHS,OIG,2013,23,170,142,51,0.0727,0.7636,0.1636
DHS,I&A,2012,23,96,115,4,0.2326,0.7442,0.0233
DHS,I&A,2014,34,244,255,23,0.2059,0.6176,0.1765
DHS,PRIV,2008,34,849,844,39,0.1333,0.7733,0.0933
DHS,OIG,2009,35,163,189,9,0.1069,0.7634,0.1298
DHS,ICE,2011,36,16502,16488,50,0.045,0.937,0.018
DHS,FLETC,2010,36,145,169,12,0.3718,0.5769,0.0513
DHS,PRIV,2012,37,730,709,58,0.1538,0.7538,0.0923
DHS,PRIV,2009,41,1045,992,94,0.3106,0.6288,0.0606
DHS,PRIV,2014,43,705,665,83,0.1756,0.7024,0.122
DHS,PRIV,2011,45,1317,1327,35,0.1864,0.8136,0
DHS,NPPD,2011,47,318,270,95,0.073,0.927,0
DHS,ICE,2012,50,24073,21220,2903,0.0191,0.9374,0.0435
DHS,OIG,2014,51,177,166,62,0.127,0.8175,0.0556
DHS,OIG,2015,62,261,223,100,0.1529,0.7261,0.121
DHS,ICE,2009,68,6746,6736,78,0.0941,0.8632,0.0427
DHS,ICE,2010,83,8523,8570,36,0.0732,0.8984,0.0284
DHS,PRIV,2013,85,798,840,43,0.1984,0.6032,0.1984
DHS,PRIV,2010,95,1113,1163,45,0.1444,0.5944,0.2611
DHS,OIG,2008,98,186,249,35,0.0645,0.7688,0.1667
DHS,NPPD,2012,100,7105,4891,2314,0.007,0.9911,0.0019
DHS,US-VISIT,2011,118,2570,2681,7,0.0022,0.9978,0
DHS,PRIV,2015,125,649,697,77,0.2735,0.6413,0.0852
DHS,TSA,2010,270,716,557,429,0.2644,0.5458,0.1898
DHS,TSA,2008,280,758,634,404,0.2487,0.5401,0.2112
DHS,ICE,2008,305,4224,4461,68,0.1333,0.7309,0.1358
DHS,FEMA,2013,326,798,564,560,0.4558,0.5088,0.0354
DHS,FEMA,2008,329,705,330,704,0.7059,0.2255,0.0686
DHS,USCG,2010,385,4102,3958,529,0.6538,0.2411,0.1051
DHS,TSA,2009,404,849,983,270,0.2869,0.5803,0.1328
DHS,TSA,2011,429,926,694,661,0.2375,0.613,0.1494
DHS,USCG,2012,471,3700,3256,915,0.8651,0.0997,0.0353
DHS,CBP,2010,487,18948,18639,796,0.1833,0.8098,0.007
DHS,USCG,2011,530,3882,3708,704,0.7704,0.1921,0.0375
DHS,USSS,2009,540,987,1032,495,0.1429,0.7843,0.0729
DHS,TSA,2014,546,859,491,914,0.4218,0.5355,0.0427
DHS,FEMA,2012,547,761,952,356,0.3262,0.6352,0.0386
DHS,USSS,2008,553,1378,1427,504,0.1118,0.7157,0.1725
DHS,USSS,2010,554,1526,1451,629,0.0776,0.7298,0.1925
DHS,FEMA,2014,560,772,508,824,0.3244,0.64,0.0356
DHS,TSA,2013,573,909,851,631,0.2633,0.4759,0.2608
DHS,USSS,2012,608,1595,1343,860,0.1106,0.8468,0.0426
DHS,USSS,2011,629,897,898,628,0.1385,0.7308,0.1308
DHS,TSA,2012,661,861,949,573,0.3277,0.5608,0.1115
DHS,FEMA,2009,704,830,641,893,0.562,0.3953,0.0426
DHS,USSS,2014,728,1061,1045,744,0.2824,0.6706,0.0471
DHS,USSS,2015,758,1497,1328,927,0.0617,0.8532,0.0851
DHS,USCG,2013,760,3468,3098,1130,0.9041,0.0764,0.0195
DHS,CBP,2011,796,32107,27818,5085,0.1019,0.895,0.0031
DHS,FEMA,2015,824,758,717,865,0.3341,0.6455,0.0205
DHS,USSS,2013,853,1499,1575,777,0.08,0.7815,0.1385
DHS,FEMA,2011,855,820,1139,536,0.4313,0.5109,0.0578
DHS,CBP,2008,857,13943,8639,6161,0.4008,0.48,0.1192
DHS,FEMA,2010,889,760,794,855,0.3792,0.5844,0.0364
DHS,USCG,2014,936,3203,2620,1519,0.8773,0.1091,0.0136
DHS,TSA,2015,974,554,563,965,0.4144,0.5267,0.0588
DHS,USCG,2009,1050,5600,6265,385,0.5326,0.1917,0.2756
DHS,USCG,2008,1143,5174,5273,1044,0.8002,0.1558,0.044
DHS,USCG,2015,1444,3176,2517,2103,0.8575,0.1166,0.0259
DHS,NPPD,2013,2395,15187,12942,4640,0.2691,0.7297,0.0012
DHS,ICE,2013,2903,34161,30818,6246,0.0083,0.9735,0.0182
DHS,NPPD,2015,4490,13781,12232,6039,0.1204,0.8775,0.0021
DHS,NPPD,2014,4758,7775,5581,6952,0.1731,0.8241,0.0028
DHS,CBP,2012,5040,33243,26571,11712,0.169,0.8269,0.0042
DHS,CBP,2009,6161,14804,20484,481,0.2091,0.782,0.0089
DHS,ICE,2014,6234,85081,33644,57671,0.0123,0.9628,0.0249
DHS,USCIS,2014,11293,143794,141700,13387,0.1172,0.8294,0.0533
DHS,USCIS,2015,12525,162986,150897,24614,0.1026,0.8451,0.0523
DHS,CBP,2013,13513,41381,14635,40259,0.2136,0.7772,0.0092
DHS,USCIS,2011,14921,115545,89835,40631,0.1674,0.8314,0.0012
DHS,USCIS,2013,17024,132797,138523,11298,0.124,0.8389,0.037
DHS,USCIS,2010,24292,91503,100872,14923,0.163,0.8342,0.0028
DHS,CBP,2015,38122,52290,77746,12666,0.0242,0.9721,0.0037
DHS,CBP,2014,41907,47261,51056,38112,0.1144,0.8811,0.0044
DHS,USCIS,2012,43568,117787,145278,16077,0.1608,0.8382,0.001
DHS,ICE,2015,57671,44748,101578,841,0.0142,0.9735,0.0122
DHS,USCIS,2009,75023,71429,122113,24339,0.1304,0.8681,0.0015
DHS,USCIS,2008,80150,78985,84424,74711,0.1262,0.8719,0.0019
DOC,AGC/Admin.,2013,,,,,,,
DOC,AGC/Admin.,2012,,,,,,,
DOC,AGC/Admin,2012,,,,,,,
DOC,AGC/Admin.,2011,,,,,,,
DOC,AGC/Admin.,2010,,,,,,,
DOC,AGC/Admin.,2009,,,,,,,
DOC,AGC/Admin.,2008,,,,,,,
DOC,MBDA,2014,0,6,6,0,,,
DOC,ESA,2014,0,6,6,0,,,
DOC,EDA,2013,0,38,37,1,0.7895,0.1579,0.0526
DOC,ESA,2013,0,8,8,0,1,0,0
DOC,BIS,2012,0,34,33,1,0.3,0.6,0.1
DOC,NTIS,2012,0,14,13,1,0.5,0.5,0
DOC,ESA,2012,0,5,5,0,1,0,0
DOC,NTIS,2011,0,13,13,0,1,0,0
DOC,ESA,2011,0,10,10,0,1,0,0
DOC,MBDA,2010,0,12,11,1,1,0,0
DOC,NTIA,2010,0,99,87,12,0.8065,0.129,0.0645
DOC,NTIS,2010,0,8,8,0,0.5,0,0.5
DOC,ESA,2010,0,13,13,0,1,0,0
DOC,MBDA,2009,0,10,10,0,0.75,0.25,0
DOC,NTIA,2009,0,45,45,0,0.7576,0.1818,0.0606
DOC,NTIS,2009,0,21,21,0,1,0,0
DOC,ITA,2009,0,141,114,27,0.7143,0.1837,0.102
DOC,ESA,2009,0,12,12,0,0.6667,0.3333,0
DOC,MBDA,2008,0,28,28,0,1,0,0
DOC,ITA,2008,0,111,111,0,0.7586,0.1897,0.0517
DOC,ESA,2008,0,9,9,0,0.5,0.5,0
DOC,MBDA,2015,0,6,5,1,,,
DOC,ESA,2015,0,11,10,1,1,0,0
DOC,NTIS,2014,1,8,8,1,0.5,0.1667,0.3333
DOC,EDA,2014,1,40,35,6,0.625,0.375,0
DOC,MBDA,2013,1,2,3,0,0,1,0
DOC,BIS,2013,1,42,38,5,0.4583,0.2083,0.3333
DOC,NTIS,2013,1,8,8,1,1,0,0
DOC,OIG,2012,1,50,48,3,0.0811,0.7568,0.1622
DOC,MBDA,2011,1,4,2,3,0,1,0
DOC,OIG,2010,1,85,73,13,0.1,0.6,0.3
DOC,EDA,2009,1,37,34,4,0.7407,0.1481,0.1111
DOC,NTIA,2008,1,6,7,0,1,0,0
DOC,NTIS,2008,1,15,16,0,0.8571,0.1429,0
DOC,EDA,2008,1,64,64,1,0.5714,0.4286,0
DOC,BIS,2011,2,29,31,0,0.381,0.1905,0.4286
DOC,BIS,2008,2,67,58,11,0.4524,0.3095,0.2381
DOC,OIG,2014,3,115,104,14,0.1579,0.614,0.2281
DOC,MBDA,2012,3,5,7,1,1,0,0
DOC,EDA,2012,3,32,35,0,0.5,0.5,0
DOC,NTIS,2015,3,15,13,5,0.4286,0,0.5714
DOC,EDA,2011,4,67,68,3,0.717,0.283,0
DOC,EDA,2010,4,51,52,3,0.7,0.3,0
DOC,Census,2009,4,234,229,9,0.1875,0.4,0.4125
DOC,OIG,2009,4,48,51,1,0.2353,0.5882,0.1765
DOC,OIG,2008,4,46,46,4,0.15,0.65,0.2
DOC,BIS,2014,5,88,80,13,0.4915,0.1525,0.3559
DOC,OIG,2013,6,84,86,4,0.0893,0.875,0.0357
DOC,OS,2012,6,232,201,37,0.4706,0.4588,0.0706
DOC,PTO,2010,6,254,245,15,0.4257,0.505,0.0693
DOC,Census,2008,6,194,196,4,0.1681,0.3186,0.5133
DOC,EDA,2015,6,42,41,7,0.6552,0.3103,0.0345
DOC,ITA,2011,7,71,46,32,0.4667,0.4,0.1333
DOC,BIS,2010,9,76,83,2,0.4314,0.2941,0.2745
DOC,Census,2010,9,329,298,40,0.4299,0.3458,0.2243
DOC,NTIA,2012,10,94,89,15,0.425,0.575,0
DOC,OS,2010,10,252,243,19,0.4683,0.5079,0.0238
DOC,BIS,2009,11,89,91,9,0.4857,0.4,0.1143
DOC,NTIA,2015,12,76,69,19,0.6522,0.3478,0
DOC,OIG,2011,13,81,93,1,0.0364,0.8182,0.1455
DOC,PTO,2008,13,384,375,22,0.4055,0.5023,0.0922
DOC,BIS,2015,13,100,98,15,0.2353,0.3725,0.3922
DOC,PTO,2012,14,255,247,22,0.5072,0.4493,0.0435
DOC,NTIA,2011,14,83,87,10,0.4667,0.5333,0
DOC,OIG,2015,14,170,169,15,0.0982,0.8482,0.0536
DOC,NTIA,2014,15,60,63,12,0.5938,0.4063,0
DOC,NTIA,2013,15,116,116,15,0.4167,0.5833,0
DOC,PTO,2011,15,302,303,14,0.5039,0.4331,0.063
DOC,OS,2008,16,227,223,20,0.5233,0.4302,0.0465
DOC,Census,2014,17,407,401,23,0.6048,0.1571,0.2381
DOC,NIST,2008,18,180,176,22,0.6216,0.3514,0.027
DOC,NIST,2012,19,235,206,48,0.6056,0.3099,0.0845
DOC,OS,2011,19,261,274,6,0.4524,0.5,0.0476
DOC,PTO,2009,20,361,375,6,0.4894,0.4184,0.0922
DOC,OS,2009,20,235,245,10,0.6374,0.3516,0.011
DOC,Census,2013,21,286,290,17,0.25,0.2941,0.4559
DOC,PTO,2013,22,321,319,24,0.5449,0.4132,0.0419
DOC,NIST,2009,22,170,157,35,0.6122,0.2449,0.1429
DOC,PTO,2015,22,376,356,42,0.4868,0.4074,0.1058
DOC,PTO,2014,23,307,308,22,0.5839,0.3043,0.1118
DOC,Census,2015,24,543,539,28,0.7252,0.1054,0.1693
DOC,ITA,2013,25,48,30,43,0.7143,0.2857,0
DOC,ITA,2010,27,66,86,7,0.8261,0.1522,0.0217
DOC,Census,2012,29,283,291,21,0.2696,0.4261,0.3043
DOC,ITA,2012,33,53,61,25,0.3684,0.6316,0
DOC,NIST,2014,34,128,128,34,0.661,0.3051,0.0339
DOC,NIST,2015,34,114,107,41,0.5789,0.386,0.0351
DOC,NIST,2010,35,216,202,49,0.6447,0.2763,0.0789
DOC,OS,2013,37,234,196,75,0.4048,0.5595,0.0357
DOC,Census,2011,40,340,351,29,0.3382,0.2721,0.3897
DOC,ITA,2014,42,53,21,74,0.7,0.3,0
DOC,NIST,2013,48,207,221,34,0.6071,0.369,0.0238
DOC,NIST,2011,48,232,261,19,0.4848,0.5,0.0152
DOC,NOAA,2010,74,652,620,106,0.8251,0.1473,0.0275
DOC,OS,2014,75,231,191,115,0.3906,0.5313,0.0781
DOC,ITA,2015,75,69,7,137,0,0.6667,0.3333
DOC,OS,2015,115,235,251,99,0.463,0.4444,0.0926
DOC,NOAA,2012,116,515,465,166,0.5358,0.2837,0.1805
DOC,NOAA,2011,140,709,670,179,0.7828,0.1854,0.0318
DOC,NOAA,2008,143,605,576,172,0.78,0.1983,0.0218
DOC,NOAA,2014,150,447,425,172,0.5187,0.3693,0.112
DOC,NOAA,2013,151,429,441,139,0.6071,0.3214,0.0714
DOC,NOAA,2009,172,688,708,152,0.8483,0.1276,0.0241
DOC,NOAA,2015,172,473,498,147,0.5451,0.3924,0.0625
DOD,ASBCA,2014,0,13,12,1,0.5,0.5,0
DOD,DeCA,2014,0,146,144,2,0.75,0.2407,0.0093
DOD,ASBCA,2013,0,3,3,0,1,0,0
DOD,STRATCOM,2012,0,33,32,1,0.1538,0.3846,0.4615
DOD,ASBCA,2012,0,4,4,0,1,0,0
DOD,DSS,2011,0,54,53,1,0.6,0.2286,0.1714
DOD,ASBCA,2011,0,3,3,0,1,0,0
DOD,ASBCA,2010,0,2,2,0,1,0,0
DOD,NGB,2009,0,21,18,3,0.25,0.75,0
DOD,AFRICOM,2009,0,25,22,3,1,0,0
DOD,DSS,2009,0,62,61,1,0.8269,0.1154,0.0577
DOD,ASBCA,2009,0,15,15,0,0.6154,0.3846,0
DOD,DeCA,2009,0,126,118,8,0.7416,0.2472,0.0112
DOD,DSS,2008,0,81,79,2,0.678,0.2881,0.0339
DOD,ASBCA,2008,0,20,20,0,0.95,0.05,0
DOD,DeCA,2008,0,64,64,0,0.5385,0.4359,0.0256
DOD,DTIC,2015,0,223,221,2,0.9737,0.0132,0.0132
DOD,DSS,2015,0,67,67,0,0.2424,0.7576,0
DOD,JPRA,2015,0,8,8,0,0,1,0
DOD,JPRA,2014,1,9,10,0,0,0.3333,0.6667
DOD,STRATCOM,2013,1,35,25,11,0.5385,0.3077,0.1538
DOD,DSS,2012,1,51,44,8,0.4583,0.5417,0
DOD,DSS,2010,1,39,40,0,0.5217,0.4348,0.0435
DOD,NORTHCOM,2009,1,35,30,6,0.3,0.4,0.3
DOD,ASBCA,2015,1,19,20,0,1,0,0
DOD,JPRA,2013,2,7,8,1,0,0.5,0.5
DOD,DCAA,2012,2,72,69,5,0.4545,0.3939,0.1515
DOD,NGB,2011,2,113,94,21,0.2353,0.6176,0.1471
DOD,DCAA,2011,2,105,105,2,0.5714,0.3265,0.102
DOD,STRATCOM,2010,2,101,86,17,0.381,0.5238,0.0952
DOD,DTIC,2008,2,54,51,5,0.8333,0,0.1667
DOD,DCAA,2015,2,101,100,3,0.4167,0.3542,0.2292
DOD,DeCA,2015,2,183,183,2,0.8483,0.1517,0
DOD,DCAA,2014,3,81,82,2,0.3922,0.5098,0.098
DOD,DTIC,2013,3,179,167,15,0.9286,0.0143,0.0571
DOD,NGB,2010,3,46,47,2,0.5,0.4286,0.0714
DOD,AFRICOM,2010,3,5,1,7,0,1,0
DOD,STRATCOM,2009,3,44,40,7,0.2857,0.3333,0.381
DOD,DCAA,2009,3,90,83,10,0.5806,0.2581,0.1613
DOD,NORTHCOM,2010,4,55,55,4,0.3421,0.5263,0.1316
DOD,STRATCOM,2008,4,42,42,4,0.0769,0.6538,0.2692
DOD,NORTHCOM,2008,4,38,38,4,0.2105,0.7895,0
DOD,DoDEA,2015,4,62,64,2,0.1364,0.75,0.1136
DOD,DSS,2014,5,76,80,1,0.2157,0.7843,0
DOD,DoDEA,2013,5,54,53,6,0.2791,0.6512,0.0698
DOD,DCAA,2013,5,105,107,3,0.4,0.5143,0.0857
DOD,DTIC,2012,5,79,81,3,0.9583,0.0417,0
DOD,DoDEA,2012,5,50,50,5,0.303,0.6667,0.0303
DOD,AFRICOM,2011,5,22,8,19,1,0,0
DOD,DTIC,2009,5,172,161,16,0.9375,0.0625,0
DOD,DoDEA,2014,6,46,49,3,0.075,0.725,0.2
DOD,DeCA,2011,6,179,167,18,0.8686,0.1241,0.0073
DOD,DoDEA,2010,6,59,58,7,0.3778,0.5556,0.0667
DOD,DoDEA,2009,6,67,67,6,0.2432,0.7027,0.0541
DOD,DoDEA,2008,6,47,47,6,0.1081,0.8649,0.027
DOD,DCAA,2008,6,114,117,3,0.5319,0.3404,0.1277
DOD,DeCA,2013,7,177,184,0,0.8077,0.1795,0.0128
DOD,DoDEA,2011,7,73,75,5,0.1064,0.8298,0.0638
DOD,TRICARE,2008,7,92,88,11,0.5,0.4531,0.0469
DOD,DFAS,2015,7,225,217,15,0.6026,0.3205,0.0769
DOD,DSS,2013,8,92,95,5,0.4286,0.5429,0.0286
DOD,DFAS,2013,8,266,261,13,0.7884,0.164,0.0476
DOD,NORTHCOM,2012,8,58,45,21,0.5,0.5,0
DOD,DeCA,2010,8,258,260,6,0.9628,0.0279,0.0093
DOD,DFAS,2012,9,239,240,8,0.649,0.3046,0.0464
DOD,STRATCOM,2011,9,42,51,0,0.1852,0.7037,0.1111
DOD,DFAS,2011,9,145,145,9,0.7238,0.219,0.0571
DOD,NORTHCOM,2011,9,39,39,9,0.1818,0.8182,0
DOD,DFAS,2008,9,238,236,11,0.7234,0.25,0.0266
DOD,TRICARE,2012,10,154,147,17,0.6885,0.2623,0.0492
DOD,DTIC,2011,10,95,100,5,0.9245,0.0189,0.0566
DOD,DCAA,2010,10,103,111,2,0.381,0.4286,0.1905
DOD,STRATCOM,2014,11,119,97,33,0.5682,0.3409,0.0909
DOD,JFCOM,2011,11,41,52,0,0.4615,0.3846,0.1538
DOD,TRICARE,2010,11,115,75,51,0.3913,0.4565,0.1522
DOD,TRICARE,2009,11,84,84,11,0.3469,0.4898,0.1633
DOD,DFAS,2009,11,256,246,21,0.5949,0.3641,0.041
DOD,NORTHCOM,2014,12,187,187,12,0.4857,0.3143,0.2
DOD,DTRA,2008,12,159,153,18,0.1094,0.875,0.0156
DOD,NORTHCOM,2015,12,146,125,33,0.3636,0.4242,0.2121
DOD,DFAS,2014,13,247,253,7,0.7232,0.2034,0.0734
DOD,DTIC,2010,16,90,96,10,0.963,0.0185,0.0185
DOD,TRANSCOM,2011,17,107,106,18,0.5616,0.4384,0
DOD,TRANSCOM,2012,18,111,95,34,0.4394,0.4697,0.0909
DOD,DeCA,2012,18,190,201,7,0.8193,0.1747,0.006
DOD,DCMA,2010,18,234,200,52,0.5443,0.4051,0.0506
DOD,DTRA,2009,18,229,221,26,0.2286,0.7524,0.019
DOD,TRICARE,2013,19,130,129,20,0.4923,0.4308,0.0769
DOD,DTRA,2012,19,137,103,53,0.375,0.5417,0.0833
DOD,AFRICOM,2012,19,38,31,26,0.1176,0.8235,0.0588
DOD,DTIC,2014,20,232,252,0,0.9792,0.0208,0
DOD,DHA,2014,20,222,200,42,0.4516,0.4194,0.129
DOD,NGB,2012,21,108,105,24,0.3158,0.6053,0.0789
DOD,DFAS,2010,21,203,215,9,0.6509,0.3077,0.0414
DOD,NGB,2013,24,108,79,53,0.1579,0.6316,0.2105
DOD,PACOM,2011,24,74,60,38,0.5625,0.375,0.0625
DOD,AFRICOM,2013,26,69,53,42,0.1471,0.7353,0.1176
DOD,DISA,2013,26,269,249,46,0.8172,0.1452,0.0376
DOD,DTRA,2010,26,177,169,34,0.2,0.7455,0.0545
DOD,DISA,2012,29,310,312,27,0.7824,0.1647,0.0529
DOD,NORTHCOM,2013,30,109,128,11,0.2292,0.6042,0.1667
DOD,DCMA,2008,30,180,172,38,0.6515,0.2879,0.0606
DOD,DTRA,2011,33,129,145,17,0.2927,0.6951,0.0122
DOD,JFCOM,2008,33,28,12,49,0.2,0.2,0.6
DOD,STRATCOM,2015,33,66,86,13,0.1667,0.7778,0.0556
DOD,DISA,2015,33,274,237,70,0.7568,0.1982,0.045
DOD,TRANSCOM,2013,34,74,61,47,0.439,0.5122,0.0488
DOD,PACOM,2010,34,85,91,28,0.2917,0.4583,0.25
DOD,EUCOM,2015,34,85,74,45,0.0833,0.7083,0.2083
DOD,EUCOM,2014,35,91,92,34,0.3953,0.5814,0.0233
DOD,DTRA,2014,35,137,130,42,0.4675,0.4935,0.039
DOD,NRO,2008,36,188,175,49,0.1828,0.6882,0.129
DOD,DoDIG,2010,37,416,352,101,0.1121,0.6168,0.271
DOD,TRANSCOM,2014,38,74,35,77,0.4545,0.5455,0
DOD,PACOM,2012,38,45,48,35,0.2903,0.6129,0.0968
DOD,DCMA,2009,38,255,275,18,0.5556,0.4111,0.0333
DOD,DCMA,2015,38,201,176,63,0.3167,0.6667,0.0167
DOD,DTRA,2015,39,110,96,53,0.8182,0.1818,0
DOD,EUCOM,2008,41,37,25,53,0.2143,0.5714,0.2143
DOD,PACOM,2015,41,97,134,4,0.1692,0.6154,0.2154
DOD,AFRICOM,2014,42,65,39,68,0.125,0.625,0.25
DOD,DHA,2015,42,123,111,54,0.5357,0.2976,0.1667
DOD,DoDIG,2008,43,386,377,52,0.0779,0.7418,0.1803
DOD,JFCOM,2009,44,36,13,67,0,0,1
DOD,NRO,2013,45,199,186,58,0.1848,0.6957,0.1196
DOD,DCMA,2014,46,222,230,38,0.3883,0.5728,0.0388
DOD,DISA,2014,46,263,276,33,0.807,0.1287,0.0643
DOD,DLA,2014,47,3884,3809,122,0.7628,0.2341,0.0032
DOD,NRO,2012,47,225,227,45,0.1074,0.8456,0.047
DOD,NRO,2009,49,269,227,91,0.2833,0.65,0.0667
DOD,TRICARE,2011,51,111,152,10,0.3919,0.527,0.0811
DOD,NRO,2011,51,210,214,47,0.3121,0.6312,0.0567
DOD,TRANSCOM,2008,51,88,85,54,0.4068,0.5932,0
DOD,DCMA,2011,52,244,221,75,0.5119,0.4643,0.0238
DOD,DoDIG,2009,52,313,333,32,0.0892,0.4796,0.4312
DOD,DTRA,2013,53,122,137,38,0.2469,0.7284,0.0247
DOD,DISA,2011,53,244,268,29,0.7447,0.2128,0.0426
DOD,EUCOM,2009,53,41,35,59,0.3,0.3,0.4
DOD,TRANSCOM,2009,54,112,108,58,0.1975,0.8025,0
DOD,PACOM,2009,55,92,109,38,0.2453,0.6415,0.1132
DOD,NGB,2014,57,116,95,78,0.3778,0.5556,0.0667
DOD,NRO,2014,58,167,147,78,0.1444,0.7778,0.0778
DOD,EUCOM,2011,58,81,78,61,0.2424,0.5455,0.2121
DOD,TRANSCOM,2010,58,123,164,17,0.3604,0.5495,0.0901
DOD,DCMA,2013,59,209,221,47,0.2841,0.7159,0
DOD,EUCOM,2010,59,79,75,63,0.25,0.5,0.25
DOD,EUCOM,2012,61,72,70,63,0.3333,0.5556,0.1111
DOD,DLA,2012,62,6325,6266,121,0.8896,0.1086,0.0019
DOD,EUCOM,2013,63,96,124,35,0.0862,0.8103,0.1034
DOD,NGA,2014,64,119,115,68,0.2727,0.5273,0.2
DOD,PACOM,2013,64,93,60,97,0.1351,0.5946,0.2703
DOD,JFCOM,2010,65,50,107,8,0.36,0.64,0
DOD,SOUTHCOM,2011,67,168,137,98,0.2564,0.7051,0.0385
DOD,AFRICOM,2015,68,124,59,133,0.1515,0.8182,0.0303
DOD,TRANSCOM,2015,68,91,125,34,0.3906,0.5313,0.0781
DOD,DCMA,2012,76,187,204,59,0.3896,0.6104,0
DOD,NGB,2015,78,118,111,85,0.2449,0.6939,0.0612
DOD,NRO,2015,78,164,196,46,0.1979,0.7604,0.0417
DOD,SOUTHCOM,2010,81,175,189,67,0.2015,0.5597,0.2388
DOD,PACOM,2014,84,75,118,41,0.2727,0.6364,0.0909
DOD,NGA,2013,86,96,118,64,0.2545,0.5455,0.2
DOD,NRO,2010,91,262,302,51,0.4789,0.4789,0.0423
DOD,SOUTHCOM,2009,97,136,152,81,0.0185,0.7685,0.213
DOD,SOUTHCOM,2012,98,195,123,170,0.2203,0.7627,0.0169
